full_path,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,Motor Hacmi,Alt Model,Yakıt,Motor Gücü,Üretim Yılları,Vites,Kasa Tipi
Otomobil > 2025 > Audi > A3 > Benzin & LPG > Hatchback 5 kapı > Otomatik > A3 Sportback > 35 TFSI,Otomobil,2025,Audi,A3,Benzin & LPG,Hatchback 5 kapı,Otomatik,A3 Sportback,35 TFSI,1498 cm3,A3 Sportback 35 TFSI S Line,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A3 > Benzin & LPG > Sedan 4 kapı > Otomatik > A3 Sedan > 2.0 TFSI,Otomobil,2025,Audi,A3,Benzin & LPG,Sedan 4 kapı,Otomatik,A3 Sedan,2.0 TFSI,1984 cm3,A3 Sedan 2.0 TFSI Quattro S3,Benzin & LPG,333 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A3 > Benzin & LPG > Sedan 4 kapı > Otomatik > A3 Sedan > 35 TFSI,Otomobil,2025,Audi,A3,Benzin & LPG,Sedan 4 kapı,Otomatik,A3 Sedan,35 TFSI,1498 cm3,A3 Sedan 35 TFSI Advanced,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A3 > Benzin & LPG > Sedan 4 kapı > Otomatik > A3 Sedan > 35 TFSI,Otomobil,2025,Audi,A3,Benzin & LPG,Sedan 4 kapı,Otomatik,A3 Sedan,35 TFSI,1498 cm3,A3 Sedan 35 TFSI S Line,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A3 > Hybrid > Sedan 4 kapı > Otomatik > A3 Sedan > 35 TFSI,Otomobil,2025,Audi,A3,Hybrid,Sedan 4 kapı,Otomatik,A3 Sedan,35 TFSI,1498 cm3,A3 Sedan 35 TFSI Advanced,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A3 > Hybrid > Sedan 4 kapı > Otomatik > A3 Sedan > 35 TFSI,Otomobil,2025,Audi,A3,Hybrid,Sedan 4 kapı,Otomatik,A3 Sedan,35 TFSI,1498 cm3,A3 Sedan 35 TFSI S Line,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A3 > Hybrid > Hatchback 5 kapı > Otomatik > A3 Sportback > 35 TFSI,Otomobil,2025,Audi,A3,Hybrid,Hatchback 5 kapı,Otomatik,A3 Sportback,35 TFSI,1498 cm3,A3 Sportback 35 TFSI Advanced,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A3 > Hybrid > Hatchback 5 kapı > Otomatik > A3 Sportback > 35 TFSI,Otomobil,2025,Audi,A3,Hybrid,Hatchback 5 kapı,Otomatik,A3 Sportback,35 TFSI,1498 cm3,A3 Sportback 35 TFSI All Street,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A3 > Hybrid > Hatchback 5 kapı > Otomatik > A3 Sportback > 35 TFSI,Otomobil,2025,Audi,A3,Hybrid,Hatchback 5 kapı,Otomatik,A3 Sportback,35 TFSI,1498 cm3,A3 Sportback 35 TFSI S Line,Hybrid,150 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A5 > Dizel > Sedan 4 kapı > Otomatik > A5 Sedan > 2.0 TDI Quattro,Otomobil,2025,Audi,A5,Dizel,Sedan 4 kapı,Otomatik,A5 Sedan,2.0 TDI Quattro,1968 cm3,A5 2.0 TDI Quattro Hybrid,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A5 > Dizel > Station Wagon 5 kapı > Otomatik > A5 Avant > 2.0 TDI Quattro,Otomobil,2025,Audi,A5,Dizel,Station Wagon 5 kapı,Otomatik,A5 Avant,2.0 TDI Quattro,1968 cm3,A5 Avant 2.0 TDI Quattro Hybrid,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A5 > Benzin > Sedan 4 kapı > Otomatik > A5 Sedan > 2.0 TFSI,Otomobil,2025,Audi,A5,Benzin,Sedan 4 kapı,Otomatik,A5 Sedan,2.0 TFSI,1984 cm3,A5 2.0 TFSI Hybrid,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A5 > Benzin > Sedan 4 kapı > Otomatik > A5 Sedan > 2.0 TFSI Quattro,Otomobil,2025,Audi,A5,Benzin,Sedan 4 kapı,Otomatik,A5 Sedan,2.0 TFSI Quattro,1984 cm3,A5 2.0 TFSI Hybrid Quattro,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A5 > Benzin > Station Wagon 5 kapı > Otomatik > A5 Avant > 2.0 TFSI Quattro,Otomobil,2025,Audi,A5,Benzin,Station Wagon 5 kapı,Otomatik,A5 Avant,2.0 TFSI Quattro,1984 cm3,A5 Avant 2.0 TFSI Quattro,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A5 > Benzin & LPG > Sedan 4 kapı > Otomatik > A5 Sedan > 2.0 TFSI,Otomobil,2025,Audi,A5,Benzin & LPG,Sedan 4 kapı,Otomatik,A5 Sedan,2.0 TFSI,1984 cm3,A5 2.0 TFSI Hybrid,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A5 > Benzin & LPG > Sedan 4 kapı > Otomatik > A5 Sedan > 2.0 TFSI Quattro,Otomobil,2025,Audi,A5,Benzin & LPG,Sedan 4 kapı,Otomatik,A5 Sedan,2.0 TFSI Quattro,1984 cm3,A5 2.0 TFSI Hybrid Quattro,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A5 > Benzin & LPG > Station Wagon 5 kapı > Otomatik > A5 Avant > 2.0 TFSI Quattro,Otomobil,2025,Audi,A5,Benzin & LPG,Station Wagon 5 kapı,Otomatik,A5 Avant,2.0 TFSI Quattro,1984 cm3,A5 Avant 2.0 TFSI Quattro,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A5 > Hybrid > Sedan 4 kapı > Otomatik > A5 Sedan > 2.0 TDI Quattro,Otomobil,2025,Audi,A5,Hybrid,Sedan 4 kapı,Otomatik,A5 Sedan,2.0 TDI Quattro,1968 cm3,A5 2.0 TDI Quattro Hybrid,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A5 > Hybrid > Sedan 4 kapı > Otomatik > A5 Sedan > 2.0 TFSI,Otomobil,2025,Audi,A5,Hybrid,Sedan 4 kapı,Otomatik,A5 Sedan,2.0 TFSI,1984 cm3,A5 2.0 TFSI Hybrid,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A5 > Hybrid > Sedan 4 kapı > Otomatik > A5 Sedan > 2.0 TFSI Quattro,Otomobil,2025,Audi,A5,Hybrid,Sedan 4 kapı,Otomatik,A5 Sedan,2.0 TFSI Quattro,1984 cm3,A5 2.0 TFSI Hybrid Quattro,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A5 > Hybrid > Station Wagon 5 kapı > Otomatik > A5 Avant > 2.0 TDI Quattro,Otomobil,2025,Audi,A5,Hybrid,Station Wagon 5 kapı,Otomatik,A5 Avant,2.0 TDI Quattro,1968 cm3,A5 Avant 2.0 TDI Quattro Hybrid,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A5 > Hybrid > Station Wagon 5 kapı > Otomatik > A5 Avant > 2.0 TFSI Quattro,Otomobil,2025,Audi,A5,Hybrid,Station Wagon 5 kapı,Otomatik,A5 Avant,2.0 TFSI Quattro,1984 cm3,A5 Avant 2.0 TFSI Quattro,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Dizel > Sedan 4 kapı > Otomatik > A6 Sedan > 2.0 TDI Quattro,Otomobil,2025,Audi,A6,Dizel,Sedan 4 kapı,Otomatik,A6 Sedan,2.0 TDI Quattro,1968 cm3,A6 Sedan 2.0 TDI Quattro,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Dizel > Sedan 4 kapı > Otomatik > A6 Sedan > 40 TDI,Otomobil,2025,Audi,A6,Dizel,Sedan 4 kapı,Otomatik,A6 Sedan,40 TDI,1968 cm3,A6 Sedan 40 TDI Quattro Advanced,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Dizel > Sedan 4 kapı > Otomatik > A6 Sedan > 40 TDI,Otomobil,2025,Audi,A6,Dizel,Sedan 4 kapı,Otomatik,A6 Sedan,40 TDI,1968 cm3,A6 Sedan 40 TDI Quattro S Line,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Dizel > Sedan 4 kapı > Otomatik > A6 Sedan > 50 TDI,Otomobil,2025,Audi,A6,Dizel,Sedan 4 kapı,Otomatik,A6 Sedan,50 TDI,2967 cm3,A6 Sedan 50 TDI Quattro Advanced,Hybrid,286 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Dizel > Sedan 4 kapı > Otomatik > A6 Sedan > 50 TDI,Otomobil,2025,Audi,A6,Dizel,Sedan 4 kapı,Otomatik,A6 Sedan,50 TDI,2967 cm3,A6 Sedan 50 TDI Quattro S Line,Hybrid,286 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Dizel > Station Wagon 5 kapı > Otomatik > A6 Allroad Quattro > 40 TDI,Otomobil,2025,Audi,A6,Dizel,Station Wagon 5 kapı,Otomatik,A6 Allroad Quattro,40 TDI,1968 cm3,A6 Allroad Quattro 40 TDI Quattro S-Tronic,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Dizel > Station Wagon 5 kapı > Otomatik > A6 Allroad Quattro > 50 TDI,Otomobil,2025,Audi,A6,Dizel,Station Wagon 5 kapı,Otomatik,A6 Allroad Quattro,50 TDI,2967 cm3,A6 Allroad Quattro 50 TDI Tiptronic,Hybrid,286 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Dizel > Station Wagon 5 kapı > Otomatik > A6 Avant > 2.0 TDI Quattro,Otomobil,2025,Audi,A6,Dizel,Station Wagon 5 kapı,Otomatik,A6 Avant,2.0 TDI Quattro,1968 cm3,A6 Avant 2.0 TDI Quattro S-Tronic,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Dizel > Station Wagon 5 kapı > Otomatik > A6 Avant > 40 TDI,Otomobil,2025,Audi,A6,Dizel,Station Wagon 5 kapı,Otomatik,A6 Avant,40 TDI,1968 cm3,A6 Avant 40 TDI Quattro Advanced,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Dizel > Station Wagon 5 kapı > Otomatik > A6 Avant > 40 TDI,Otomobil,2025,Audi,A6,Dizel,Station Wagon 5 kapı,Otomatik,A6 Avant,40 TDI,1968 cm3,A6 Avant 40 TDI Quattro S Line,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Benzin > Station Wagon 5 kapı > Otomatik > A6 Allroad Quattro > 55 TFSI,Otomobil,2025,Audi,A6,Benzin,Station Wagon 5 kapı,Otomatik,A6 Allroad Quattro,55 TFSI,2995 cm3,A6 Allroad Quattro 55 TFSI S-Tronic,Hybrid,340 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Benzin > Station Wagon 5 kapı > Otomatik > A6 Avant > 45 TFSI,Otomobil,2025,Audi,A6,Benzin,Station Wagon 5 kapı,Otomatik,A6 Avant,45 TFSI,1984 cm3,A6 Avant 45 TFSI Quattro Advanced,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Benzin > Station Wagon 5 kapı > Otomatik > A6 Avant > 45 TFSI,Otomobil,2025,Audi,A6,Benzin,Station Wagon 5 kapı,Otomatik,A6 Avant,45 TFSI,1984 cm3,A6 Avant 45 TFSI Quattro S Line,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Benzin > Sedan 4 kapı > Otomatik > A6 Sedan > 45 TFSI,Otomobil,2025,Audi,A6,Benzin,Sedan 4 kapı,Otomatik,A6 Sedan,45 TFSI,1984 cm3,A6 Sedan 45 TFSI Quattro Advanced,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Benzin > Sedan 4 kapı > Otomatik > A6 Sedan > 45 TFSI,Otomobil,2025,Audi,A6,Benzin,Sedan 4 kapı,Otomatik,A6 Sedan,45 TFSI,1984 cm3,A6 Sedan 45 TFSI Quattro S Line,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Benzin & LPG > Station Wagon 5 kapı > Otomatik > A6 Allroad Quattro > 55 TFSI,Otomobil,2025,Audi,A6,Benzin & LPG,Station Wagon 5 kapı,Otomatik,A6 Allroad Quattro,55 TFSI,2995 cm3,A6 Allroad Quattro 55 TFSI S-Tronic,Hybrid,340 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Benzin & LPG > Station Wagon 5 kapı > Otomatik > A6 Avant > 45 TFSI,Otomobil,2025,Audi,A6,Benzin & LPG,Station Wagon 5 kapı,Otomatik,A6 Avant,45 TFSI,1984 cm3,A6 Avant 45 TFSI Quattro Advanced,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Benzin & LPG > Station Wagon 5 kapı > Otomatik > A6 Avant > 45 TFSI,Otomobil,2025,Audi,A6,Benzin & LPG,Station Wagon 5 kapı,Otomatik,A6 Avant,45 TFSI,1984 cm3,A6 Avant 45 TFSI Quattro S Line,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Benzin & LPG > Sedan 4 kapı > Otomatik > A6 Sedan > 45 TFSI,Otomobil,2025,Audi,A6,Benzin & LPG,Sedan 4 kapı,Otomatik,A6 Sedan,45 TFSI,1984 cm3,A6 Sedan 45 TFSI Quattro Advanced,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Benzin & LPG > Sedan 4 kapı > Otomatik > A6 Sedan > 45 TFSI,Otomobil,2025,Audi,A6,Benzin & LPG,Sedan 4 kapı,Otomatik,A6 Sedan,45 TFSI,1984 cm3,A6 Sedan 45 TFSI Quattro S Line,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Sedan 4 kapı > Otomatik > A6 Sedan > 2.0 TDI Quattro,Otomobil,2025,Audi,A6,Hybrid,Sedan 4 kapı,Otomatik,A6 Sedan,2.0 TDI Quattro,1968 cm3,A6 Sedan 2.0 TDI Quattro,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Sedan 4 kapı > Otomatik > A6 Sedan > 40 TDI,Otomobil,2025,Audi,A6,Hybrid,Sedan 4 kapı,Otomatik,A6 Sedan,40 TDI,1968 cm3,A6 Sedan 40 TDI Quattro Advanced,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Sedan 4 kapı > Otomatik > A6 Sedan > 40 TDI,Otomobil,2025,Audi,A6,Hybrid,Sedan 4 kapı,Otomatik,A6 Sedan,40 TDI,1968 cm3,A6 Sedan 40 TDI Quattro S Line,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Sedan 4 kapı > Otomatik > A6 Sedan > 45 TFSI,Otomobil,2025,Audi,A6,Hybrid,Sedan 4 kapı,Otomatik,A6 Sedan,45 TFSI,1984 cm3,A6 Sedan 45 TFSI Quattro Advanced,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Sedan 4 kapı > Otomatik > A6 Sedan > 45 TFSI,Otomobil,2025,Audi,A6,Hybrid,Sedan 4 kapı,Otomatik,A6 Sedan,45 TFSI,1984 cm3,A6 Sedan 45 TFSI Quattro S Line,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Sedan 4 kapı > Otomatik > A6 Sedan > 50 TDI,Otomobil,2025,Audi,A6,Hybrid,Sedan 4 kapı,Otomatik,A6 Sedan,50 TDI,2967 cm3,A6 Sedan 50 TDI Quattro Advanced,Hybrid,286 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Sedan 4 kapı > Otomatik > A6 Sedan > 50 TDI,Otomobil,2025,Audi,A6,Hybrid,Sedan 4 kapı,Otomatik,A6 Sedan,50 TDI,2967 cm3,A6 Sedan 50 TDI Quattro S Line,Hybrid,286 HP,2025 - Devam ediyor,Otomatik,Sedan 4 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Station Wagon 5 kapı > Otomatik > A6 Allroad Quattro > 40 TDI,Otomobil,2025,Audi,A6,Hybrid,Station Wagon 5 kapı,Otomatik,A6 Allroad Quattro,40 TDI,1968 cm3,A6 Allroad Quattro 40 TDI Quattro S-Tronic,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Station Wagon 5 kapı > Otomatik > A6 Allroad Quattro > 50 TDI,Otomobil,2025,Audi,A6,Hybrid,Station Wagon 5 kapı,Otomatik,A6 Allroad Quattro,50 TDI,2967 cm3,A6 Allroad Quattro 50 TDI Tiptronic,Hybrid,286 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Station Wagon 5 kapı > Otomatik > A6 Allroad Quattro > 55 TFSI,Otomobil,2025,Audi,A6,Hybrid,Station Wagon 5 kapı,Otomatik,A6 Allroad Quattro,55 TFSI,2995 cm3,A6 Allroad Quattro 55 TFSI S-Tronic,Hybrid,340 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Station Wagon 5 kapı > Otomatik > A6 Avant > 2.0 TDI Quattro,Otomobil,2025,Audi,A6,Hybrid,Station Wagon 5 kapı,Otomatik,A6 Avant,2.0 TDI Quattro,1968 cm3,A6 Avant 2.0 TDI Quattro S-Tronic,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Station Wagon 5 kapı > Otomatik > A6 Avant > 40 TDI,Otomobil,2025,Audi,A6,Hybrid,Station Wagon 5 kapı,Otomatik,A6 Avant,40 TDI,1968 cm3,A6 Avant 40 TDI Quattro Advanced,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Station Wagon 5 kapı > Otomatik > A6 Avant > 40 TDI,Otomobil,2025,Audi,A6,Hybrid,Station Wagon 5 kapı,Otomatik,A6 Avant,40 TDI,1968 cm3,A6 Avant 40 TDI Quattro S Line,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Station Wagon 5 kapı > Otomatik > A6 Avant > 45 TFSI,Otomobil,2025,Audi,A6,Hybrid,Station Wagon 5 kapı,Otomatik,A6 Avant,45 TFSI,1984 cm3,A6 Avant 45 TFSI Quattro Advanced,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 > Hybrid > Station Wagon 5 kapı > Otomatik > A6 Avant > 45 TFSI,Otomobil,2025,Audi,A6,Hybrid,Station Wagon 5 kapı,Otomatik,A6 Avant,45 TFSI,1984 cm3,A6 Avant 45 TFSI Quattro S Line,Hybrid,265 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 E-Tron > Elektrik > Hatchback 5 kapı > Otomatik > A6 E-Tron Sportback > Performance,Otomobil,2025,Audi,A6 E-Tron,Elektrik,Hatchback 5 kapı,Otomatik,A6 E-Tron Sportback,Performance,0 cm3,A6 E-Tron Sportback Performance,Elektrik,326 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A6 E-Tron > Elektrik > Hatchback 5 kapı > Otomatik > A6 E-Tron Sportback > Quattro,Otomobil,2025,Audi,A6 E-Tron,Elektrik,Hatchback 5 kapı,Otomatik,A6 E-Tron Sportback,Quattro,0 cm3,A6 E-Tron Sportback Quattro,Elektrik,462 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A6 E-Tron > Elektrik > Hatchback 5 kapı > Otomatik > A6 E-Tron Sportback > Standart,Otomobil,2025,Audi,A6 E-Tron,Elektrik,Hatchback 5 kapı,Otomatik,A6 E-Tron Sportback,Standart,0 cm3,A6 E-Tron Sportback,Elektrik,326 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
Otomobil > 2025 > Audi > A6 E-Tron > Elektrik > Station Wagon 5 kapı > Otomatik > A6 E-Tron Avant > Performance,Otomobil,2025,Audi,A6 E-Tron,Elektrik,Station Wagon 5 kapı,Otomatik,A6 E-Tron Avant,Performance,0 cm3,A6 E-Tron Avant Performance,Elektrik,326 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 E-Tron > Elektrik > Station Wagon 5 kapı > Otomatik > A6 E-Tron Avant > Quattro,Otomobil,2025,Audi,A6 E-Tron,Elektrik,Station Wagon 5 kapı,Otomatik,A6 E-Tron Avant,Quattro,0 cm3,A6 E-Tron Avant Quattro,Elektrik,462 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A6 E-Tron > Elektrik > Station Wagon 5 kapı > Otomatik > A6 E-Tron Avant > Standart,Otomobil,2025,Audi,A6 E-Tron,Elektrik,Station Wagon 5 kapı,Otomatik,A6 E-Tron Avant,Standart,0 cm3,A6 E-Tron Avant,Elektrik,326 HP,2025 - Devam ediyor,Otomatik,Station Wagon 5 kapı
Otomobil > 2025 > Audi > A7 > Dizel > Hatchback 5 kapı > Otomatik > 40 TDI,Otomobil,2025,Audi,A7,Dizel,Hatchback 5 kapı,Otomatik,40 TDI,,1968 cm3,A7 Sportback 40 TDI Quattro S-Tronic,Hybrid,204 HP,2025 - Devam ediyor,Otomatik,Hatchback 5 kapı
